,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
965,966,K2-233,K2-233 d,3,24.3662,0.1527,0.236,69,4950,0.8,5.3,K3,22843920,22843920000,1.59E+30,68161.63302,6.816163302,228.4392,16872.112,2.648267462
966,967,K2-237,K2-237 b,1,2.18056,0.037,1.65,458,6257,1.28,3.6,F6 V,5535200,5535200000,2.55E+30,175153.4252,17.51534252,55.352,117961.8,18.51542929
967,968,K2-238,K2-238 b,1,3.20466,0.046,1.3,453,5630,1.19,4.2,G2 V,6881600,6881600000,2.37E+30,151463.8796,15.14638796,68.816,92939.6,14.58791399
968,969,K2-239,K2-239 b,3,5.24,0.0441,0.098,49,3420,0.4,6.3,M3.0 V,6597360,6597360000,7.96E+29,89686.11519,8.968611519,65.9736,7006.216,1.099704285
969,970,K2-239,K2-239 c,3,7.775,0.0576,0.089,49,3420,0.4,6.3,M3.0 V,8616960,8616960000,7.96E+29,78475.35079,7.847535079,86.1696,6362.788,0.998711034
970,971,K2-239,K2-239 d,3,10.115,0.0685,0.098,49,3420,0.4,6.3,M3.0 V,10247600,10247600000,7.96E+29,71961.33667,7.196133667,102.476,7006.216,1.099704285
973,974,K2-240,K2-240 b,2,6.034,0.0513,0.178,70,3810,0.58,6,M0.5 V,7674480,7674480000,1.15E+30,100131.2934,10.01312934,76.7448,12725.576,1.997422069
974,975,K2-240,K2-240 c,2,20.523,0.1159,0.161,70,3810,0.58,6,M0.5 V,17338640,17338640000,1.15E+30,66617.26377,6.661726377,173.3864,11510.212,1.80665704
999,1000,K2-260,K2-260 b,1,2.6266657,0.0404,1.552,676.32,6367,1.39,3.6,F6 V,6043840,6043840000,2.76E+30,174675.192,17.4675192,60.4384,110955.584,17.415725
1000,1001,K2-261,K2-261 b,1,11.63344,0.102,0.85,214.58,5537,1.1,4.7,G7 IV/V,15259200,15259200000,2.19E+30,97793.67536,9.779367536,152.592,60768.2,9.538251452
1094,1095,KELT-10,KELT-10 b,1,4.1662739,0.0525,1.399,183,5948,1.11,4,G0 V,7854000,7854000000,2.21E+30,136929.2878,13.69292878,78.54,100017.308,15.69883974
1095,1096,KELT-11,KELT-11 b,1,4.736529,0.06229,1.37,98,5370,1.44,4.9,G8/K0 IV,9318584,9318584000,2.86E+30,143181.396,14.3181396,93.18584,97944.04,15.37341705
1097,1098,KELT-14,KELT-14 b,1,1.7100566,0.03005,1.743,266,5720,1.24,4.4,G4,4495480,4495480000,2.47E+30,191294.7786,19.12947786,44.9548,124610.556,19.55902621
1099,1100,KELT-16,KELT-16 b,1,0.9689951,0.02044,1.415,395.26,6236,1.21,3.7,F7 V,3057824,3057824000,2.41E+30,229121.9787,22.91219787,30.57824,101161.18,15.8783833
1100,1101,KELT-17,KELT-17 b,1,3.0801716,0.04881,1.525,210,7454,1.64,2,A,7301976,7301976000,3.26E+30,172616.3909,17.26163909,73.01976,109025.3,17.11274525
1101,1102,KELT-18,KELT-18 b,1,2.8717518,0.0455,1.57,311,6670,1.52,3.4,F4 V,6806800,6806800000,3.02E+30,172119.7107,17.21197107,68.068,112242.44,17.61771151
1102,1103,KELT-19 A,KELT-19 A b,1,4.6117093,0.0637,1.91,292,7500,1.62,2.8,A8 V,9529520,9529520000,3.22E+30,150176.6122,15.01766122,95.2952,136549.72,21.43301209
1104,1105,KELT-20,KELT-20 b,1,3.4741085,0.0542,1.741,139.7,8720,1.76,2.2,A2 V,8108320,8108320000,3.50E+30,169695.8425,16.96958425,81.0832,124467.572,19.53658327
1105,1106,KELT-21,KELT-21 b,1,3.6127647,0.05224,1.586,415,7598,1.46,2.8,A8 V,7815104,7815104000,2.90E+30,157430.6743,15.74306743,78.15104,113386.312,17.79725506
1107,1108,KELT-4 A,KELT-4 A b,1,2.9895932,0.04317,1.699,210,6206,1.2,3,F,6458232,6458232000,2.39E+30,157005.2268,15.70052268,64.58232,121464.908,19.06528143
1112,1113,KELT-9,KELT-9 b,1,1.4811235,0.03462,1.891,188.7,10170,2.52,1.98,B9.5-A0,5179152,5179152000,5.01E+30,254068.7497,25.40687497,51.79152,135191.372,21.21980411
1125,1126,KOI-1257,KOI-1257 b,1,86.647661,0.382,0.94,900,5520,0.99,4.5,G5 V,57147200,57147200000,1.97E+30,47940.2647,4.79402647,571.472,67202.48,10.54818396
1138,1139,KOI-55,KOI-55 b,2,0.240104,0.006,0.068,1180,27730,0.5,1,B,897600,897600000,9.95E+29,271846.5894,27.18465894,8.976,4861.456,0.763060116
1139,1140,KOI-55,KOI-55 c,2,0.342887,0.0076,0.077,1180,27730,0.5,1,B,1136960,1136960000,9.95E+29,241542.0333,24.15420333,11.3696,5504.884,0.864053367
1161,1162,Kepler-101,Kepler-101 b,2,3.4876812,0.0474,0.51,657,5667,1.17,4.3,G3 IV,7091040,7091040000,2.33E+30,147951.125,14.7951125,70.9104,36460.92,5.722950871
1162,1163,Kepler-101,Kepler-101 c,2,6.02976,0.0684,0.112,657,5667,1.17,4.3,G3 IV,10232640,10232640000,2.33E+30,123162.7541,12.31627541,102.3264,8007.104,1.256804897
1378,1379,Kepler-117,Kepler-117 b,2,18.7959228,0.1445,0.719,1430,6150,1.13,3.8,F8 V,21617200,21617200000,2.25E+30,83275.99107,8.327599107,216.172,51402.748,8.068238581
1379,1380,Kepler-117,Kepler-117 c,2,50.790391,0.2804,1.101,1430,6150,1.13,3.8,F8 V,41947840,41947840000,2.25E+30,59781.21382,5.978121382,419.4784,78712.692,12.354841
2007,2008,Kepler-1655,Kepler-1655 b,1,11.8728787,0.103,0.197,230.59,6148,1.03,4,G0 V,15408800,15408800000,2.05E+30,94170.42095,9.417042095,154.088,14083.924,2.210630042
2011,2012,Kepler-167,Kepler-167 b,4,4.3931632,0.0483,0.144,330,4890,0.77,5.4,K4,7225680,7225680000,1.53E+30,118901.2195,11.89012195,72.2568,10294.848,1.615892011
