Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
3447,Kepler-994,Kepler-994 b,1,1.15116651,,0.143,170,3934,0.56,,
3448,Kepler-995,Kepler-995 b,1,28.26731672,,0.241,659,5206,0.83,,
3449,Kepler-996,Kepler-996 b,1,3.77059058,,0.177,1098,6014,1.09,,
3450,Kepler-997,Kepler-997 b,1,2.70730672,,0.121,470,6150,1.22,,
3451,Kepler-998,Kepler-998 b,1,5.65377733,,0.207,996,6058,1.12,,
3452,Kepler-999,Kepler-999 b,1,5.99185702,,0.209,568,6237,1.29,,
3453,LHS 1140,LHS 1140 b,1,24.73712,0.0875,0.128,12.47,3131,0.15,6.45,M4.5 V
3454,LkCa 15,LkCa 15 b,2,,14.7,,,,,,
3455,LkCa 15,LkCa 15 c,2,,18.6,,,,,,
3456,Lupus-TR-3,Lupus-TR-3 b,1,3.91405,0.0464,0.89,2000,5000,0.87,,
3457,MASCARA-1,MASCARA-1 b,1,2.14878,0.043,1.5,188.7,7554,1.72,2.8,A8
3458,MOA-2007-BLG-192L,MOA-2007-BLG-192L b,1,,0.62,,1000,,0.06,,
3459,MOA-2007-BLG-400L,MOA-2007-BLG-400L b,1,,0.72,,5800,,0.3,,
3460,MOA-2008-BLG-310L,MOA-2008-BLG-310L b,1,,1.61,,7700,,0.21,,
3461,MOA-2008-BLG-379L,MOA-2008-BLG-379L b,1,,3.3,,3300,,0.56,5,K
3462,MOA-2009-BLG-266L,MOA-2009-BLG-266L b,1,2774,3.2,,3040,,0.56,,
3463,MOA-2009-BLG-319L,MOA-2009-BLG-319L b,1,,2.4,,6100,,0.38,,
3464,MOA-2009-BLG-387L,MOA-2009-BLG-387L b,1,1982,1.82,,5690,,0.19,,
3465,MOA-2010-BLG-073L,MOA-2010-BLG-073L b,1,,1.21,,2800,,0.16,,
3466,MOA-2010-BLG-117L,MOA-2010-BLG-117L b,1,,2.9,,3500,,0.58,,
3467,MOA-2010-BLG-328L,MOA-2010-BLG-328L b,1,,0.92,,810,,0.11,,
3468,MOA-2010-BLG-353L,MOA-2010-BLG-353L b,1,,1.72,,6430,,0.18,,
3469,MOA-2010-BLG-477L,MOA-2010-BLG-477L b,1,,2,,2300,5950,0.67,,
3470,MOA-2011-BLG-028L,MOA-2011-BLG-028L b,1,,4.14,,7380,,0.75,,
3471,MOA-2011-BLG-262L,MOA-2011-BLG-262L b,1,,0.84,,7000,,0.12,,
